aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.03,13.58,0.02,1.22,0.08,0.04,0.05,0.09,1.41,0.0,0.004,0.05,7.85,0.27,0.003,0.22,0.19,0.03,0.09,0.04,1.0
2.47,29.2,0.04,1.28,0.002,2.52,0.45,1.54,1.14,0.68,0.68,0.136,8.21,1.2,0.008,22.35,3.8,0.04,0.11,0.02,1.0
4.98,23.88,0.37,3.95,0.09,0.89,0.51,1.35,1.07,0.0,0.0,0.101,1.21,1.23,0.008,17.75,5.58,0.09,0.38,0.03,0.0
0.43,28.29,0.01,0.88,0.044026716572018586,3.55,0.65,0.01,0.43,0.27,0.007,0.033,5.85,1.28,0.001,15.977809548453875,5.14,0.01,0.06,0.05,0.0
0.01,21.59,0.06,0.77,0.04,0.01,0.1,0.08,1.19,0.7,0.7,0.157,10.87,1.23,0.0,3.07,1.29,0.04,0.08,0.02,0.0
0.02,25.23,0.09,0.33,0.07,0.08,0.06,0.05,0.05,0.0,0.002,0.018,10.88,0.8,0.005,0.71,3.44,0.05,0.05,0.05,0.0
0.08,16.59,0.68,1.69,0.09,1.48,0.57,0.09,1.39,0.11,0.0,0.118,6.09,1.84,0.001,28.51,1.42,0.04,0.05,0.07,0.0
0.11,28.81,0.04,1.16,0.002,0.63,0.66,1.8,0.55,0.26,0.006,0.097,14.75,1.63,0.004,6.85,1.57,0.08,0.13,0.07,0.0
0.04,29.7,0.4,1.67,0.02,2.73,0.01,0.08,1.46,0.76,0.76,0.001,4.8,1.68,0.009,30.22,0.96,0.07,0.4,0.06,0.0
0.08,12.81,0.09,0.52,0.08,0.07,0.02,1.97,0.61,0.0,0.52,0.095,14.19,0.24,0.005,4.29,0.5,0.01,0.0,0.02,0.0
0.05,24.02,0.94,1.68,0.02,2.83,0.09,0.08,1.32,0.1,0.005,0.001,11.83,1.89,0.006,50.13,5.58,0.0,0.33,0.07,0.0
2.1,8.22,0.04,2.17,0.001,0.26,0.03,1.22,0.78,0.0,0.0,0.082,17.53,1.51,0.006,53.64,7.02,0.04,0.2,0.01,0.0
3.09,8.21,0.001,3.35,0.044026716572018586,4.37,0.33,1.94,0.78,0.89,0.89,0.101,12.11,1.51,0.008,15.977809548453875,7.62,0.02,0.33,0.04,0.0
2.74,5.69,0.92,1.28,0.06,2.14,0.74,1.74,0.97,0.0,0.004,0.199,13.86,1.75,0.006,5.7,5.19,0.07,0.44,0.08,0.0
0.07,0.33,0.05,2.06,0.09,0.05,0.1,0.01,0.91,0.0,0.78,0.174,7.09,0.86,0.005,0.73,1.37,0.07,0.09,0.06,0.0
2.83,0.41,0.05,2.6,0.1,1.28,0.33,1.94,1.49,0.0,0.001,0.114,10.44,1.99,0.007,53.39,2.54,0.04,0.5,0.09,0.0
1.98,1.5,0.001,3.69,0.044026716572018586,3.62,0.79,1.37,0.62,0.92,0.92,0.112,8.13,1.6,0.007,15.977809548453875,4.38,0.05,0.29,0.05,1.0
2.52,7.2,0.001,2.04,0.005,0.8,0.15,1.65,0.8,0.54,0.54,0.163,10.42,1.76,0.008,55.9,5.88,0.01,0.18,0.0,0.0
0.1,13.49,0.34,1.14,0.1,4.66,0.23,1.69,1.47,0.05,0.008,0.123,6.15,1.2,0.009,40.78,6.13,0.03,0.48,0.05,0.0
0.03,18.72,0.76,1.66,0.11,3.44,0.3,1.09,1.35,0.38,0.006,0.13,18.43,1.46,0.01,49.3,6.33,0.05,0.06,0.07,0.0
0.0,18.44,0.06,0.22,0.02,0.09,0.09,1.34,0.26,0.07,0.008,0.113,2.19,0.6,0.01,2.64,1.73,0.09,0.04,0.04,0.0
3.86,11.02,0.01,3.64,0.044026716572018586,3.83,0.14,1.04,1.39,0.07,0.006,0.176,3.45,1.15,0.008,15.977809548453875,6.42,0.03,0.43,0.05,0.0
0.04,6.67,0.02,0.13,0.03,0.0,0.06,0.04,1.3,0.03,0.007,0.11,1.08,1.09,0.008,5.42,1.88,0.07,0.1,0.04,0.0
0.05,8.92,0.02,0.56,0.04,0.06,0.02,0.02,0.9,0.0,0.51,0.13,2.85,0.37,0.01,0.11,1.19,0.0,0.09,0.01,0.0
0.02,11.97,0.01,0.03,0.08,0.27,0.02,0.09,0.82,0.0,0.62,0.177,14.8,0.17,0.001,0.05,2.18,0.07,0.07,0.07,0.0
3.18,29.44,0.01,3.33,0.008,0.4,0.16,0.15,0.98,0.0,0.0,0.187,8.96,1.42,0.004,15.45,1.7,0.02,0.08,0.05,1.0
2.15,16.82,0.56,1.52,0.06,1.09,0.64,0.12,0.48,0.0,0.93,0.142,1.11,1.95,0.009,40.89,3.24,0.05,0.03,0.04,0.0
0.04,25.37,0.02,0.55,0.04,0.56,0.04,1.72,0.49,0.0,0.6,0.093,8.09,0.14,0.009,2.25,0.35,0.02,0.02,0.07,0.0
0.06,25.59,0.02,3.03,0.001,1.53,0.86,0.66,1.0,0.67,0.67,0.182,11.69,1.15,0.004,3.24,1.27,0.07,0.4,0.0,0.0
0.17,17.69,0.04,1.87,0.006,1.12,0.38,0.22,1.09,0.57,0.57,0.101,10.34,1.04,0.001,5.73,1.08,0.04,0.03,0.01,1.0
0.01,25.12,0.92,3.88,0.1,2.41,0.89,0.07,1.25,0.75,0.75,0.076,7.59,1.63,0.008,14.49,7.52,0.01,0.15,0.08,0.0
0.05,25.43,0.29,1.09,0.05,7.02,0.61,1.67,1.19,0.86,0.86,0.132,1.28,1.47,0.009,0.59,3.12,0.09,0.05,0.03,0.0
0.1,14.31,0.09,2.68,0.1,0.48,0.05,1.13,1.43,0.0,0.63,0.152,7.17,0.16,0.005,1.88,4.23,0.05,0.1,0.05,0.0
0.11,14.3,0.47,0.34,0.08,6.17,0.04,0.06,0.77,0.52,0.52,0.001,17.6,1.82,0.009,50.22,3.55,0.1,0.24,0.06,0.0
0.02,28.74,0.02,3.15,0.004,6.4,0.27,0.2,0.58,0.8,0.8,0.112,11.7,1.58,0.007,20.46,7.21,0.07,0.46,0.09,0.0
0.07,10.12,0.06,1.13,0.03,0.37,0.08,1.07,1.35,0.39,0.003,0.113,14.25,1.24,0.003,0.38,4.33,0.06,0.07,0.04,0.0
0.08,18.27,0.03,0.12,0.02,0.03,0.09,0.72,0.57,0.37,0.007,0.153,15.63,1.65,0.003,2.9,0.23,0.1,0.08,0.09,0.0
0.03,0.48,0.0,1.15,0.07,0.46,0.05,1.63,0.57,0.68,0.68,0.151,12.31,1.07,0.009,1.95,0.4,0.1,0.01,0.03,0.0
0.04,3.28,0.08,0.79,0.03,0.01,0.0,0.06,1.34,0.0,0.003,0.116,3.27,0.2,0.009,1.7,0.28,0.08,0.07,0.06,0.0
0.06,19.9,0.01,1.65,0.09,0.12,0.0,0.07,0.53,0.02,0.001,0.028,11.24,1.53,0.008,5.45,0.88,0.06,0.04,0.06,0.0
1.05,13.34,0.01,2.13,0.044026716572018586,0.88,0.04,1.11,1.19,0.72,0.72,0.1,2.83,1.32,0.001,15.977809548453875,3.52,0.04,0.42,0.02,1.0
0.05,22.72,0.04,0.93,0.01,0.09,0.04,1.77,0.62,0.14,0.006,0.137,14.86,1.19,0.004,0.8,3.27,0.01,0.02,0.05,0.0
0.1,12.66,0.04,0.48,0.008,7.96,0.76,0.7,0.52,0.59,0.59,0.152,14.44,1.12,0.004,30.25,0.51,0.03,0.35,0.07,0.0
0.04,23.49,0.28,4.27,0.06,3.52,0.11,0.04,0.27,0.26,0.005,0.001,18.03,2.11,0.001,51.57,4.29,0.02,0.42,0.08,0.0
0.98,1.64,0.59,2.6,0.09,2.37,0.17,1.78,1.17,0.28,0.002,0.035,1.35,1.26,0.009,23.77,4.69,0.0,0.28,0.02,0.0
0.22,16.13,0.24,2.58,0.11,2.34,0.51,0.09,0.74,0.48,0.001,0.001,13.53,1.34,0.005,28.31,4.31,0.09,0.28,0.08,0.0
4.76,23.47,0.03,3.01,0.005,7.72,0.04,1.97,0.12,0.0,0.0,0.121,10.85,1.09,0.002,16.15,5.97,0.08,0.2,0.01,1.0
0.02,13.45,0.02,0.46,0.02,0.13,0.08,0.06,1.25,0.0,0.7,0.129,15.72,0.64,0.003,1.41,1.16,0.03,0.09,0.07,0.0
0.02,18.64,0.001,3.09,0.002,3.9,0.27,0.93,0.94,0.92,0.92,0.011,0.42,1.77,0.004,28.9,4.51,0.0,0.12,0.07,0.0
0.02,17.24,0.01,0.83,0.02,0.07,0.08,0.08,0.26,0.0,0.72,0.034,17.27,0.71,0.004,2.02,0.51,0.04,0.06,0.06,0.0
0.16,21.66,0.09,1.42,0.11,5.28,0.13,0.05,0.76,0.78,0.78,0.001,5.66,1.88,0.002,11.85,4.05,0.03,0.12,0.08,0.0
0.08,13.46,0.01,0.85,0.04,0.04,0.05,0.36,1.39,0.8,0.8,0.116,3.61,1.91,0.001,0.29,5.92,0.06,0.08,0.08,0.0
1.26,17.49,0.42,3.08,0.03,1.71,0.71,0.54,1.41,0.99,0.99,0.113,9.9,1.61,0.004,52.6,2.18,0.04,0.24,0.06,0.0
0.03,14.28,0.04,0.03,0.09,0.04,0.09,1.4,0.5,0.28,0.005,0.044,3.05,2.07,0.001,11.06,4.1,0.04,0.06,0.03,0.0
0.87,16.16,0.12,2.19,0.02,4.58,0.72,1.33,0.35,0.0,0.89,0.165,3.02,1.36,0.007,11.0,7.23,0.09,0.13,0.08,0.0
2.5,12.28,0.6,1.31,0.06,2.13,0.06,1.27,1.15,0.97,0.97,0.015,13.9,1.45,0.007,15.41,0.7,0.01,0.23,0.07,0.0
3.36,19.29,0.03,0.56,0.044026716572018586,4.68,0.35,1.37,0.65,0.09,0.006,0.034,10.99,1.63,0.008,15.977809548453875,6.75,0.06,0.42,0.02,0.0
4.49,28.83,0.36,3.42,0.03,5.84,0.37,1.38,0.63,0.0,0.97,0.017,3.83,1.62,0.004,53.19,0.0,0.04,0.35,0.06,0.0
1.13,27.76,0.06,4.03,0.11,5.9,0.26,0.47,1.02,0.0,0.0,0.02,19.76,1.87,0.007,44.72,2.13,0.07,0.28,0.08,0.0
0.06,15.37,0.06,0.47,0.03,0.18,0.1,1.98,0.99,0.41,0.0,0.099,10.39,1.82,0.001,1.4,0.07,0.06,0.07,0.08,0.0
0.09,27.17,0.03,0.6,0.05,0.24,0.06,0.47,1.02,0.0,0.0,0.02,19.07,0.27,0.007,8.51,0.81,0.07,0.01,0.08,0.0
4.56,11.54,0.59,3.89,0.04,3.69,0.02,1.35,1.33,0.21,0.007,0.151,9.61,2.15,0.009,54.02,7.23,0.08,0.07,0.01,0.0
0.04,24.94,0.09,2.45,0.09,0.04,0.05,0.03,0.7,0.0,0.94,0.116,13.42,0.0,0.006,1.19,3.84,0.05,0.07,0.07,0.0
0.01,4.32,0.07,0.96,0.02,0.08,0.02,0.05,1.05,0.0,0.57,0.196,6.73,0.16,0.003,2.7,1.64,0.01,0.03,0.08,0.0
0.04,13.07,0.03,0.91,0.005,6.13,0.83,1.56,0.25,0.54,0.54,0.023,8.32,1.39,0.008,57.33,2.6,0.03,0.4,0.09,0.0
0.06,6.32,0.08,0.06,0.04,0.09,0.01,0.03,0.26,0.0,0.61,0.142,2.11,0.17,0.006,0.11,0.67,0.0,0.02,0.0,0.0
0.03,24.89,0.001,2.4,0.005,4.9,0.59,1.07,1.04,0.76,0.76,0.043,2.65,1.87,0.002,35.64,3.13,0.08,0.27,0.0,0.0
0.33,12.35,0.77,3.48,0.09,5.67,0.58,1.25,0.51,0.69,0.69,0.111,15.85,1.45,0.001,35.77,2.83,0.03,0.22,0.03,0.0
0.09,8.26,0.65,1.01,0.11,3.67,0.57,0.03,0.03,0.28,0.0,0.069,1.23,1.87,0.004,37.98,1.73,0.05,0.43,0.04,0.0
0.03,29.15,0.001,3.89,0.001,4.07,0.83,0.26,0.16,0.91,0.91,0.176,6.38,1.2,0.009,38.6,3.22,0.05,0.06,0.09,0.0
0.0,13.93,0.4,2.34,0.05,7.04,0.41,0.04,0.1,0.42,0.0,0.001,10.89,1.76,0.006,38.08,3.48,0.07,0.23,0.09,0.0
4.76,26.3,0.61,3.94,0.08,1.66,0.82,1.42,1.29,0.0,0.002,0.01,2.36,1.64,0.004,11.06,2.54,0.08,0.44,0.07,0.0
0.0,5.57,0.01,0.86,0.0,0.05,0.03,0.05,1.03,0.0,0.0,0.067,14.04,1.57,0.0,4.2,2.42,0.05,0.02,0.0,0.0
2.64,11.29,0.88,3.48,0.12,2.51,0.02,1.21,0.75,0.38,0.007,0.008,14.58,1.3,0.004,23.84,1.5,0.02,0.42,0.09,0.0
2.97,28.85,0.01,0.96,0.008,1.37,0.65,0.72,0.57,0.37,0.007,0.153,15.0,1.59,0.003,15.977809548453875,2.14,0.1,0.49,0.09,1.0
2.67,18.79,0.02,0.07,0.044026716572018586,2.69,0.31,1.21,1.21,0.83,0.83,0.105,8.23,1.59,0.003,15.977809548453875,6.11,0.04,0.34,0.05,0.0
0.03,6.6,0.08,1.48,0.07,0.02,0.05,1.93,0.18,0.49,0.008,0.04,6.22,1.65,0.007,1.12,0.76,0.04,0.03,0.06,0.0
0.09,11.62,0.09,0.55,0.03,0.08,0.09,0.3,0.14,0.57,0.57,0.044,5.51,1.43,0.0,10.38,4.85,0.06,0.07,0.07,0.0
0.09,10.91,0.001,1.68,0.004,5.95,0.02,1.15,0.53,0.66,0.66,0.088,7.76,1.61,0.001,24.8,5.66,0.0,0.17,0.02,0.0
0.02,13.86,0.04,0.86,0.1,0.09,0.09,1.6,0.15,0.0,0.91,0.01,14.63,0.56,0.006,6.23,0.11,0.04,0.09,0.0,0.0
0.07,16.32,0.06,2.99,0.07,0.27,0.09,0.66,0.4,0.0,0.003,0.144,7.39,0.52,0.01,0.83,0.59,0.09,0.06,0.04,0.0
2.24,5.52,0.03,0.8,0.003,4.16,0.54,0.04,0.6,0.39,0.009,0.016,2.5,1.4,0.002,18.77,7.42,0.05,0.1,0.08,1.0
0.1,29.84,0.04,0.37,0.005,5.29,0.08,1.34,0.69,0.77,0.77,0.11,0.52,1.23,0.003,46.8,3.34,0.06,0.48,0.04,0.0
0.35,20.45,0.04,0.14,0.001,4.34,0.69,1.71,1.35,0.85,0.85,0.1,12.71,1.21,0.005,11.04,3.63,0.01,0.48,0.09,0.0
0.05,27.94,0.04,1.08,0.07,5.73,0.79,0.09,0.83,0.36,0.004,0.001,6.06,2.02,0.005,17.88,0.95,0.01,0.22,0.09,0.0
3.14,8.11,0.29,3.8,0.05,4.76,0.33,1.94,0.78,0.0,0.0,0.101,12.81,1.75,0.008,48.89,7.62,0.02,0.33,0.04,0.0
0.07,29.63,0.03,0.4,0.04,0.13,0.04,1.46,1.46,0.76,0.76,0.083,4.07,1.37,0.009,0.03,0.61,0.07,0.07,0.06,0.0
0.09,19.24,0.07,0.75,0.05,0.1,0.06,1.0,0.09,0.91,0.91,0.103,4.37,0.87,0.006,0.07,0.37,0.03,0.0,0.05,0.0
0.9,10.36,0.001,2.47,0.008,4.76,0.17,1.29,1.01,0.03,0.006,0.013,13.77,1.18,0.002,36.46,0.49,0.09,0.07,0.09,1.0
0.06,18.97,0.21,2.17,0.1,4.85,0.65,0.73,0.82,0.0,0.0,0.122,2.22,1.66,0.007,37.91,2.87,0.1,0.01,0.04,0.0
0.08,9.91,0.02,0.57,0.1,0.01,0.04,0.08,0.31,0.0,0.0,0.102,2.07,1.71,0.001,3.49,5.01,0.02,0.08,0.03,0.0
0.07,22.89,0.02,0.89,0.02,0.17,0.02,0.05,1.34,0.0,0.97,0.086,1.52,0.02,0.002,2.66,2.94,0.04,0.09,0.01,0.0
3.72,9.82,0.58,3.4,0.03,6.2,0.1,1.09,0.37,0.0,0.53,0.075,16.11,1.22,0.009,28.0,5.69,0.05,0.38,0.09,0.0
0.65,2.11,0.67,4.14,0.09,0.93,0.64,1.26,0.83,0.0,0.0,0.09,11.71,1.83,0.004,2.8,2.75,0.09,0.24,0.08,0.0
1.93,6.98,0.14,1.36,0.08,8.22,0.44,1.87,1.14,0.0,0.001,0.033,3.7,1.72,0.001,56.52,3.54,0.08,0.17,0.05,0.0
4.12,16.81,0.02,2.4,0.002,4.26,0.89,0.19,0.29,0.29,0.0,0.099,11.95,1.25,0.004,56.24,4.06,0.06,0.3,0.07,0.0
0.04,29.06,0.09,2.33,0.08,0.04,0.04,1.82,0.44,0.14,0.001,0.022,14.61,1.76,0.007,2.12,0.84,0.03,0.1,0.06,0.0
0.04,18.84,0.05,1.92,0.0,0.08,0.04,1.0,0.09,0.0,0.91,0.103,4.52,0.97,0.006,2.23,0.04,0.03,0.02,0.05,0.0
0.1,22.83,0.07,0.96,0.04,0.14,0.0,0.1,0.78,0.0,0.0,0.035,8.86,1.26,0.001,2.43,1.7,0.07,0.01,0.05,0.0
0.2,8.61,0.03,3.81,0.009,3.1,0.69,1.66,1.1,0.29,0.0,0.113,0.36,1.94,0.004,17.89,1.97,0.07,0.25,0.01,0.0
0.06,18.53,0.09,0.4,0.07,0.18,0.09,1.69,0.94,0.51,0.51,0.198,11.31,0.62,0.008,3.44,2.98,0.08,0.01,0.03,0.0
1.34,4.06,0.04,0.57,0.003,5.3,0.2,0.89,0.61,0.01,0.001,0.117,11.98,1.11,0.004,3.99,2.41,0.02,0.3,0.06,1.0
0.0,4.08,0.09,0.25,0.01,0.67,0.01,1.95,1.29,0.05,0.002,0.088,16.81,0.01,0.004,5.14,0.37,0.09,0.09,0.05,0.0
0.01,11.07,0.07,0.05,0.0,0.43,0.02,0.05,1.34,0.0,0.62,0.062,17.27,0.68,0.006,1.73,1.15,0.02,0.04,0.06,0.0
2.2,8.07,0.04,1.37,0.006,0.76,0.85,0.39,1.47,0.58,0.58,0.154,2.3,1.79,0.002,15.977809548453875,0.59,0.0,0.33,0.04,1.0
0.06,20.36,0.03,0.49,0.1,0.18,0.04,0.01,1.1,0.0,0.89,0.142,17.42,0.96,0.006,7.59,0.89,0.0,0.03,0.08,0.0
0.06,29.19,0.37,3.15,0.05,8.31,0.68,1.09,0.0,0.0,0.0,0.091,17.94,2.03,0.001,36.56,3.76,0.09,0.3,0.0,0.0
0.0,14.75,0.09,0.34,0.1,0.17,0.01,0.69,1.06,0.89,0.89,0.061,1.6,1.27,0.0,3.76,4.03,0.01,0.01,0.06,0.0
0.81,26.45,0.19,3.9,0.05,8.01,0.37,1.75,0.19,0.0,0.9,0.045,5.32,1.8,0.007,58.6,6.79,0.02,0.04,0.06,0.0
4.16,19.75,0.34,2.88,0.1,7.03,0.1,0.78,0.06,0.54,0.54,0.081,3.49,1.72,0.007,10.39,7.78,0.05,0.09,0.06,0.0
0.09,24.77,0.1,0.57,0.04,0.18,0.02,0.13,0.84,0.65,0.65,0.168,19.1,0.39,0.0,0.99,3.2,0.05,0.08,0.0,0.0
0.09,8.01,0.06,0.72,0.02,0.05,0.04,0.05,1.1,0.0,0.0,0.113,0.36,0.27,0.004,1.37,0.54,0.07,0.07,0.01,0.0
0.01,15.08,0.63,3.03,0.02,0.06,0.54,0.59,0.54,0.31,0.001,0.124,17.76,1.25,0.002,27.62,7.03,0.03,0.08,0.0,0.0
0.1,4.57,0.06,0.94,0.08,0.11,0.0,0.01,0.79,0.0,0.7,0.122,1.45,0.48,0.01,3.94,0.47,0.09,0.07,0.0,0.0
1.95,19.19,0.02,1.35,0.001,3.02,0.87,1.48,0.45,0.0,0.0,0.053,4.21,1.73,0.005,15.84,7.63,0.08,0.49,0.04,1.0
0.09,4.21,0.06,0.5,0.09,0.07,0.06,1.99,0.81,0.0,0.0,0.098,4.75,1.66,0.003,4.38,0.06,0.1,0.06,0.02,0.0
2.43,1.34,0.82,2.56,0.03,6.3,0.08,1.63,0.57,0.0,0.68,0.001,12.55,1.58,0.009,10.32,1.06,0.1,0.07,0.03,0.0
0.03,20.34,0.02,0.24,0.09,0.14,0.07,0.87,0.29,0.0,0.0,0.195,8.5,2.32,0.007,0.11,6.11,0.06,0.08,0.02,0.0
3.13,27.2,1.03,0.93,0.08,1.8,0.88,0.76,1.33,0.37,0.003,0.077,17.53,2.04,0.007,32.57,5.13,0.05,0.2,0.06,0.0
0.05,27.98,0.01,0.89,0.08,0.28,0.1,0.8,0.91,0.15,0.008,0.05,9.65,1.42,0.005,0.82,6.86,0.09,0.0,0.01,0.0
3.15,17.13,0.01,2.63,0.044026716572018586,7.8,0.4,1.24,0.92,0.42,0.006,0.172,6.13,1.06,0.004,15.977809548453875,5.9,0.08,0.21,0.01,0.0
1.91,1.96,0.74,1.8,0.07,4.68,0.35,0.1,1.47,0.9,0.9,0.097,2.95,1.25,0.003,58.41,7.8,0.01,0.11,0.01,0.0
4.77,7.18,0.81,1.89,0.11,4.92,0.24,0.28,0.82,0.54,0.54,0.197,1.6,2.19,0.007,32.6,3.64,0.05,0.37,0.05,0.0
0.94,23.14,0.62,4.14,0.04,1.05,0.26,0.5,0.85,0.0,0.0,0.034,4.5,1.39,0.007,49.1,3.23,0.09,0.03,0.02,0.0
0.08,14.48,0.02,1.14,0.005,0.98,0.23,1.3,0.37,0.98,0.98,0.156,10.15,1.09,0.008,21.22,3.24,0.05,0.44,0.0,0.0
0.07,17.75,0.05,0.03,0.04,0.39,0.07,1.85,0.44,0.0,0.0,0.047,13.88,0.41,0.002,0.15,2.97,0.05,0.04,0.0,0.0
0.04,7.9,0.06,0.97,0.07,0.56,0.07,0.65,0.9,0.58,0.58,0.093,10.16,1.21,0.003,1.2,0.75,0.05,0.08,0.05,0.0
0.88,11.12,0.04,0.92,0.044026716572018586,4.59,0.85,1.1,1.48,0.75,0.75,0.147,8.25,1.38,0.007,15.977809548453875,1.2,0.02,0.27,0.02,1.0
0.99,9.24,0.79,4.07,0.1,1.16,0.56,1.03,0.99,0.43,0.006,0.132,9.01,1.75,0.006,13.21,4.28,0.02,0.05,0.02,1.0
0.06,28.09,0.79,0.46,0.06,3.68,0.68,1.29,1.04,0.49,0.001,0.079,15.36,1.19,0.005,39.59,3.39,0.01,0.2,0.03,0.0
0.05,6.22,0.001,0.17,0.001,1.39,0.74,0.03,0.15,0.09,0.0,0.165,16.08,1.5,0.003,11.39,3.86,0.01,0.43,0.0,0.0
0.09,22.49,0.04,0.04,0.001,3.04,0.68,0.42,0.71,0.85,0.85,0.079,0.21,1.57,0.005,42.98,1.02,0.05,0.27,0.01,0.0
0.07,5.77,0.05,0.29,0.04,0.02,0.09,1.22,1.49,0.99,0.99,0.03,1.58,1.01,0.002,3.63,1.78,0.0,0.07,0.03,0.0
2.01,16.56,0.53,3.42,0.1,4.58,0.71,1.14,1.14,0.0,0.0,0.045,9.05,1.55,0.01,27.67,7.02,0.02,0.42,0.04,0.0
4.17,17.89,0.29,4.32,0.04,0.11,0.41,1.82,0.22,0.0,0.0,0.108,9.02,1.94,0.005,22.44,0.88,0.1,0.1,0.07,0.0
0.09,0.78,0.03,0.95,0.02,0.54,0.0,0.87,1.39,0.35,0.001,0.02,11.57,1.84,0.003,0.71,3.57,0.08,0.01,0.07,0.0
0.08,20.29,0.1,0.99,0.04,0.12,0.09,1.36,0.66,0.0,0.76,0.11,10.11,0.32,0.006,8.76,2.34,0.08,0.08,0.04,0.0
0.58,29.19,0.02,1.71,0.044026716572018586,1.13,0.53,1.34,0.7720247100353,0.98,0.98,0.068,10.9,1.45,0.005,15.977809548453875,3.81,0.05,0.18,0.02,1.0
0.09,0.49,0.51,4.84,0.05,1.95,0.34,0.04,0.61,0.21,0.001,0.089,9.97,1.13,0.004,45.12,3.97,0.04,0.32,0.06,0.0
